List of countries,GDP values for each country
Algeria,2255.225482
Angola,629.9553062
Argentna,11601.63022
Australia,25306.82494
Austria,27266.40335
Bahamas,19466.99052
Bangladesh,588.3691778
Belarus,2890.345675
Belgium,24733.62696
Bhutan,1445.760002
Brazil,4803.398244
Bulgaria,2618.876037
Cambodia,590.4521124
Cameroon,665.7982328
Chile,7122.938458
China,2639.54156
Colombia,3362.4656
Cyprus,15378.16704
Denmark,30860.12808
El-Salvador,2579.115607
Estonia,6525.541272
Ethiopia,229.6769525
Fiji,2242.689259
Finland,27570.4852
France,23016.84778
Georgia,1334.646773
Ghana,402.6953275
Grenada,6047.200798
Guinea,394.1156638
Haiti,385.5793827
Honduras,1414.072488
Hungary,5745.981529
India,837.7464011
Indonesia,12006.99107
Ireland,27715.52837
Italy,18937.24998
Japan,39578.07441
Kenya,478.2194906
South-Korea,16684.2278
Liberia,279.2204061
Malaysia,5345.213415
Mexico,6288.25324
Morroco,1908.304416
Nepal,274.8728621
New-Zealand,14646.42094
Norway,40034.85063
Pakistan,672.1547506
Peru,3359.517402
Qatar,36152.66676
Russia,3054.727742
Singapore,33529.83052
South Africa,3825.093781
Spain,15428.32098
Sweden,33630.24604
Switzerland,39170.41371
Thialand,2699.123242
United Arab Emirates,21058.43643
United Kingdom,28272.40661
United States,37691.02733
Uruguay,9581.05659
Venezuela,5671.912202
Vietnam,757.4009286
Zimbabwe,347.7456605
,
Max GDP,40034.85063
Min GDP,229.6769525
Mean GDP,11460.83808
Sum of all GDP,722032.7991
